"wmc","dit","noc","cbo","rfc","lcom","ca","ce","npm","lcom3","loc","dam","moa","mfa","cam","ic","cbm","amc","max_cc","avg_cc","bug"
0.75,NO
0.6667,NO
0.5,NO
1,NO
0.5,NO
0.875,NO
5.2308,NO
1,YES
0.5,NO
0.6667,NO
1.12,NO
0.5,NO
1.2857,NO
0,NO
0.5,NO
1,NO
1,NO
0.3333,NO
0,NO
0.5,NO
1.1667,NO
0.5,NO
1.1429,NO
0,NO
1.0909,NO
1,NO
0.3333,NO
1.3077,NO
0.75,NO
0.9167,NO
1,NO
0.875,NO
1.1429,NO
0.875,NO
1,NO
0.6667,NO
1,NO
0.6667,NO
0.5,NO
1,NO
0.75,NO
0.75,NO
1,NO
1.2857,NO
0.75,NO
0.8667,NO
3,NO
1,NO
0.9592,NO
0.8889,NO
1,NO
1.2,YES
0.5,NO
0.6667,NO
6.5,NO
0.8,NO
0.8571,NO
1.0625,NO
0.8,NO
0.8,NO
1,NO
1,NO
0.5,NO
0.8,NO
0,NO
1.1538,NO
0.9167,NO
0.8889,NO
0.75,NO
1,YES
0,NO
0.6667,NO
2.0909,NO
0.8,NO
2.1667,NO
1.3636,NO
0.9333,NO
0.75,NO
0.5,NO
1.4512,NO
1.1,YES
0.8,NO
0.6667,NO
0.8333,NO
1,NO
1.8,NO
1.1538,YES
1,NO
0.5714,NO
1.1471,NO
1.8,NO
3,NO
1,NO
0.5,NO
0.75,NO
0.875,NO
1,NO
0.75,NO
0.9286,NO
1.25,YES
1,NO
0,NO
0.8,NO
1.1667,NO
0,NO
1,NO
0,NO
0.8947,NO
1,NO
1.04,YES
0.8,NO
1.5,NO
1,NO
1,NO
1,NO
1,NO
1.1429,NO
0.8,NO
1,YES
1.4118,NO
0.8947,NO
1,NO
0.6667,NO
0,NO
1,NO
0.8333,NO
0.5,NO
0.5,NO
0.9091,NO
1.2,NO
0.5,NO
1.1,NO
0.8571,NO
1,NO
1.1667,NO
0.3333,NO
1.5333,NO
0.8333,NO
1.1667,NO
0.8,NO
0,NO
0.8571,NO
1.1667,NO
0,NO
0.6667,NO
1,NO
0.5,NO
1.3077,NO
1,NO
1,NO
1.1875,NO
1.4286,NO
1,NO
0.5,NO
0.5,NO
1.25,NO
0.4,NO
0,NO
0.5,NO
0.875,NO
0.8333,NO
0.8889,YES
1.5263,NO
1,NO
0.8,NO
1,NO
1.3846,NO
1.5714,NO
0.9286,NO
0.8333,NO
1,NO
2.5714,NO
1.4,NO
0.9091,NO
0,NO
1,NO
0,NO
1,NO
1,NO
0.8889,NO
0.6667,NO
0.6667,NO
0.6667,NO
1.6667,NO
0.6667,NO
1,NO
2,NO
1,NO
0.5,NO
0.7143,NO
0.6667,NO
1.6667,NO
0.9091,NO
1,NO
0.8,NO
1,NO
1.0741,NO
1.1333,NO
1,NO
0.6667,NO
1.6667,NO
0.5,NO
0.7,NO
0.4,NO
0.75,NO
0.6667,NO
1.7143,YES
0.9,NO
0.875,YES
1,NO
0.6667,NO
0.6667,NO
1.0714,NO
0.6667,NO
1.5,NO
0,NO
1,NO
0,NO
0.875,NO
1,NO
1,NO
0.6667,NO
1,NO
0.6667,NO
1.875,NO
0.8333,NO
0.6667,NO
0.8889,NO
1,NO
1,NO
0.6667,NO
0.8,NO
1.3333,NO
0.6,NO
1,NO
1,NO
0.75,NO
1,NO
0.875,NO
1.2,NO
0.5,NO
1.0625,NO
1.5,NO
0.75,NO
